Consumption_ethylene_co2_per_tonneethylene,ConventionalSC_ethylene_co2_per_tonneethylene,ODHE_ethylene_co2_per_tonneethylene,ElectrifiedSC_ethylene_co2_per_tonneethylene,ElectrifiedReactor_ethylene_co2_per_tonneethylene,Time_Index,Load_tonneperhr_z1,Load_tonneperhr_z2,Load_tonneperhr_z3
0,0,2.42,1,0.4,1,4303.652968,4781.836631,5260.020294
,,,,,2,4303.652968,4781.836631,5260.020294
,,,,,3,4303.652968,4781.836631,5260.020294
,,,,,4,4303.652968,4781.836631,5260.020294
,,,,,5,4303.652968,4781.836631,5260.020294
,,,,,6,4303.652968,4781.836631,5260.020294
,,,,,7,4303.652968,4781.836631,5260.020294
,,,,,8,4303.652968,4781.836631,5260.020294
,,,,,9,4303.652968,4781.836631,5260.020294
,,,,,10,4303.652968,4781.836631,5260.020294
,,,,,11,4303.652968,4781.836631,5260.020294
,,,,,12,4303.652968,4781.836631,5260.020294
,,,,,13,4303.652968,4781.836631,5260.020294
,,,,,14,4303.652968,4781.836631,5260.020294
,,,,,15,4303.652968,4781.836631,5260.020294
,,,,,16,4303.652968,4781.836631,5260.020294
,,,,,17,4303.652968,4781.836631,5260.020294
,,,,,18,4303.652968,4781.836631,5260.020294
,,,,,19,4303.652968,4781.836631,5260.020294
,,,,,20,4303.652968,4781.836631,5260.020294
,,,,,21,4303.652968,4781.836631,5260.020294
,,,,,22,4303.652968,4781.836631,5260.020294
,,,,,23,4303.652968,4781.836631,5260.020294
,,,,,24,4303.652968,4781.836631,5260.020294
,,,,,25,4303.652968,4781.836631,5260.020294
,,,,,26,4303.652968,4781.836631,5260.020294
,,,,,27,4303.652968,4781.836631,5260.020294
,,,,,28,4303.652968,4781.836631,5260.020294
,,,,,29,4303.652968,4781.836631,5260.020294
,,,,,30,4303.652968,4781.836631,5260.020294
,,,,,31,4303.652968,4781.836631,5260.020294
,,,,,32,4303.652968,4781.836631,5260.020294
,,,,,33,4303.652968,4781.836631,5260.020294
,,,,,34,4303.652968,4781.836631,5260.020294
,,,,,35,4303.652968,4781.836631,5260.020294
,,,,,36,4303.652968,4781.836631,5260.020294
,,,,,37,4303.652968,4781.836631,5260.020294
,,,,,38,4303.652968,4781.836631,5260.020294
,,,,,39,4303.652968,4781.836631,5260.020294
,,,,,40,4303.652968,4781.836631,5260.020294
,,,,,41,4303.652968,4781.836631,5260.020294
,,,,,42,4303.652968,4781.836631,5260.020294
,,,,,43,4303.652968,4781.836631,5260.020294
