Ethylene_Resource,Zone,tonne_ethane_p_tonne_ethylene,tonnes_h2_p_tonne_ethylene,mwh_p_tonne_ethylene,Inv_Cost_p_tonne_ethylene_p_hr_yr,Fixed_OM_cost_p_tonne_ethylene_p_hr_yr,Var_OM_cost_p_tonne_ethylene_p_hr_yr,CCS_Rate,MinCapacity_tonne_p_hr,MaxCapacity_tonne_p_hr,tonne_co2_p_tonne_ethylene,mmbtu_ng_p_tonne_ethylene,tonne_ethanol_p_tonne_ethylene,tonne_co2in_p_tonne_ethylene,CCS_p_t_ethylene,tonne_methane_p_tonne_ethylene,tonne_LPG_p_tonne_ethylene,tonnes_h2in_p_tonne_ethylene,mwh_out_p_tonne_ethylene,tonne_Gasoline_p_tonne_ethylene,CO2_emissions_Combustion_per_tethylene,Fractional_combustion,CoProd_CO2_Emissions,mwhRecovery_p_tonne_ethylene,mwhRecovery_p_tonne_CoProduct,CCS_NG_Adj_p_t_ethylene
TSC,1,1.427726982,0,0,1866681.326,1021658.368,31.56496926,0,0,-1,0.40469,1.457815951,0,0,0,0,0.2020556,0,0,0,3.142857143,1,3.142932902,0,0,0
TSC+CC90,1,1.427726982,0,0.151651195,2012643.153,1101587.515,34.03313591,0,0,-1,0.048282894,1.457815951,0,0,0.434546042,0,0.2020556,0,0,0,3.142857143,1,3.142932902,0,0,0.078138935
TSC: H2,1,1.427726982,0.079179049,0,1866681.326,1021658.368,31.56496926,0,0,-1,0.40469,8.46576334,0,0,0,0,0.2020556,0,0,0,3.142857143,1,3.142932902,0,0,0
Ethanol+NG,1,0,0,0.2304,93372.07,89768.92,1.58,0,0,-1,0,5.611940299,1.712,0,4.82,0,0,0,0,0,3.142857143,1,0,0,0,0
Ethanol+H2,1,0,0,0.2304,93372.07,89768.92,1.58,0,0,-1,0,0,1.712,0,4.82,0,0,0.049227546,0,0,3.142857143,1,0,0,0,0
MS+MTO,1,0,0,1.55,1531549.019,842448.1398,25.89799182,0,0,-1,0.802437132,0,0,8.79,4.82,0.09,1.01,1.2372949,0,0.52,3.142857143,1,3.142857143,0,0,0
MS+MTO+CC90,1,0,0,1.9757,1691700.688,929965.2299,28.60610405,0,0,-1,0.307437132,0,0,8.295,4.82,0.09,1.01,1.2372949,0,0.52,3.142857143,1,3.142857143,0,0,0
MS+MTO+CC90,1,0,0,1.9757,1691700.688,929965.2299,28.60610405,0,0,-1,0.307437132,0,0,8.295,4.82,0.09,1.01,1.2372949,0,0.52,3.142857143,1,3.142857143,0,0,0
MS+MTO+CC90,1,0,0,1.9757,1691700.688,929965.2299,28.60610405,0,0,-1,0.307437132,0,0,8.295,4.82,0.09,1.01,1.2372949,0,0.52,3.142857143,1,3.142857143,0,0,0
MS+MTO+CC90,1,0,0,1.9757,1691700.688,929965.2299,28.60610405,0,0,-1,0.307437132,0,0,8.295,4.82,0.09,1.01,1.2372949,0,0.52,3.142857143,1,3.142857143,0,0,0
TSC+CC90: H2,1,1.427726982,0.079179049,0.176806052,2013129.088,1101847.366,34.0413529,0,0,-1,0.085845492,8.46576334,0,0,0.772609424,0,0.2020556,0,0,0,3.142857143,1,3.142932902,0,0,0.453764915
TSC+H2in,1,1.427726982,0,0,1866681.326,1021658.368,31.56496926,0,0,-1,0.40469,0,0,0,0,0,0.2020556,0.012787859,0,0,3.142857143,1,3.142932902,0,0,0
