Time_Index,Price_tonne_z1,Price_tonne_z2,Price_tonne_z3
1,969,969,969
2,969,969,969
3,969,969,969
4,969,969,969
5,969,969,969
6,969,969,969
7,969,969,969
8,969,969,969
9,969,969,969
10,969,969,969
11,969,969,969
12,969,969,969
13,969,969,969
14,969,969,969
15,969,969,969
16,969,969,969
17,969,969,969
18,969,969,969
19,969,969,969
20,969,969,969
21,969,969,969
22,969,969,969
23,969,969,969
24,969,969,969
25,969,969,969
26,969,969,969
27,969,969,969
28,969,969,969
29,969,969,969
30,969,969,969
31,969,969,969
32,969,969,969
33,969,969,969
34,969,969,969
35,969,969,969
36,969,969,969
37,969,969,969
38,969,969,969
39,969,969,969
40,969,969,969
41,969,969,969
42,969,969,969
43,969,969,969
44,969,969,969
45,969,969,969
46,969,969,969
47,969,969,969
48,969,969,969
49,969,969,969
50,969,969,969
51,969,969,969
52,969,969,969
53,969,969,969
54,969,969,969
55,969,969,969
56,969,969,969
57,969,969,969
58,969,969,969
59,969,969,969
60,969,969,969
61,969,969,969
62,969,969,969
63,969,969,969
64,969,969,969
65,969,969,969
66,969,969,969
67,969,969,969
68,969,969,969
69,969,969,969
70,969,969,969
71,969,969,969
72,969,969,969
73,969,969,969
74,969,969,969
75,969,969,969
76,969,969,969
77,969,969,969
78,969,969,969
79,969,969,969
80,969,969,969
81,969,969,969
82,969,969,969
83,969,969,969
84,969,969,969
85,969,969,969
86,969,969,969
87,969,969,969
88,969,969,969
89,969,969,969
90,969,969,969
91,969,969,969
92,969,969,969
93,969,969,969
94,969,969,969
95,969,969,969
96,969,969,969
97,969,969,969
98,969,969,969
99,969,969,969
100,969,969,969
101,969,969,969
102,969,969,969
103,969,969,969
104,969,969,969
105,969,969,969
106,969,969,969
107,969,969,969
108,969,969,969
109,969,969,969
110,969,969,969
111,969,969,969
112,969,969,969
113,969,969,969
114,969,969,969
115,969,969,969
116,969,969,969
117,969,969,969
118,969,969,969
119,969,969,969
120,969,969,969
121,969,969,969
122,969,969,969
123,969,969,969
124,969,969,969
125,969,969,969
126,969,969,969
127,969,969,969
128,969,969,969
129,969,969,969
130,969,969,969
131,969,969,969
132,969,969,969
133,969,969,969
134,969,969,969
135,969,969,969
136,969,969,969
137,969,969,969
138,969,969,969
139,969,969,969
