,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Bioresource Emissions,Biomass Capture,Conventional NG,Syn NG Plant Emissions,Syn NG,Bio NG,Conventional Liquid Fuels,Synfuel Plant Emissions,Synfuels,Biofuels,Ethylene Emissions,Total
AnnualSum,2.3442597815344512e8,3329.578907861115,-869.5771143661685,1.4755178275521296e8,0.0,-6.771942162122791e8,890.6328102697969,1028.7332203037035,198.86767387239132,1.0770828321477994e8,2.9059289105874397e7,6.33423294562754e7,5.6848621230626315e7,3.668308045673453e7,1.5696373491274165e6,-636.2547051040456
t1,61896.233200268674,0.37988941108102026,-0.08347593683743956,16843.84844923951,0.0,-77305.51899823578,0.0975097038330374,0.11797743036495675,0.022241485412667454,12295.472987957433,3317.3824241425964,7230.837342413626,6489.537568693069,4187.5722314774985,179.18422010274065,35135.08356815322
t2,61895.979958129145,0.3799433262207202,-0.08488906851298067,16843.8486502509,0.0,-77305.52290661054,0.0983963926495399,0.1157829355301172,0.02184279286739219,12295.472429202942,3317.4229659883913,7230.840615457256,6489.541241849936,4187.572478629913,179.1840838147559,35134.87059309145
t3,61895.499235508556,0.37997739566544647,-0.08479390297513843,16843.851066655447,0.0,-77305.53263010408,0.09678192837450278,0.11219220697575429,0.021380342956214018,12295.47452311512,3317.361478357368,7230.844079698815,6489.545275192096,4187.5726189870375,179.18401626958422,35134.32520165093
t4,60665.59982945536,0.3799885629593411,-0.08520402905332555,16843.853858243798,0.0,-77305.54325593138,0.09480877953401765,0.10852447223590068,0.020895175311316586,12295.47707774499,3317.2842615993327,7230.846335412135,6489.548094775436,4187.572725819934,179.18401322497002,33904.34195330556
t5,52983.47474224932,0.37991132414273737,-0.10192816933512425,16843.866861345516,0.0,-77305.57805992936,0.07836097899409812,0.10291456714615935,0.020392901951102053,12295.492509628448,3317.261474776694,7230.842783303728,6489.54831462756,4187.572836561348,179.18251474780138,26222.143628913946
t6,24406.71542082061,0.37986448131564743,-0.11264296643855108,16843.858824779414,0.0,-77305.50337644038,0.07132772713880538,0.10436264615152933,0.021321346209701723,12295.496920063359,3317.216854836528,7230.886275001633,6489.614576827863,4187.567326877823,179.18107640986557,-2354.5018675889114
t7,6609.938860704323,0.37990300327067467,-0.11822468619221801,16843.862029339612,0.0,-77305.5160467765,0.07001377540310763,0.09876674630212624,0.02014384630885207,12295.498641372373,3317.2340388204916,7230.874928860859,6489.600918323946,4187.565883075636,179.18064530296968,-20151.309498291186
t8,3.6516767820266947,0.37991330108041177,-0.11825788280440012,16843.863271214603,0.0,-77305.52476656431,0.07037417386225125,0.09758004599801304,0.019879940048131463,12295.498599729277,3317.2419641817514,7230.870861701604,6489.594923633539,4187.566266343902,179.18068728302117,-26757.6070261164
t9,3.3533551799678496,0.3799188882628279,-0.11808377093764827,16843.864208999636,0.0,-77305.53061892319,0.07042005772450341,0.09655598668962859,0.01968124090977326,12295.498788183759,3317.244324303436,7230.869170758968,6489.592433152673,4187.5664557216605,179.18071325908934,-26757.91267696135
t10,3.191824850581207,0.37992202849421025,-0.117619440007653,16843.86421767541,0.0,-77305.53206446594,0.0708373447072734,0.09670797689793298,0.01967130051514246,12295.498380278708,3317.2505837845247,7230.866994112552,6489.58913682497,4187.5665724537575,179.18072111490534,-26758.074114159917
t11,3.073870813101299,0.37992484848080316,-0.11756525798523147,16843.86470649068,0.0,-77305.53494233947,0.07081482600976852,0.09614338828963039,0.01956623357676236,12295.498528386079,3317.2512505049885,7230.866313779456,6489.58815703303,4187.566655468452,179.18073494541028,-26758.19584087989
t12,2.9805392804101873,0.37992724865588956,-0.11763916350083402,16843.865399505084,0.0,-77305.53837189202,0.07058788460363294,0.0952962412054127,0.019423361953901055,12295.498927831208,3317.2494987058976,7230.866311483529,6489.588208261524,4187.5667202867935,179.18075099380943,-26758.294419970844
t13,2.9305356711190407,0.3799282993047744,-0.1173319797380341,16843.86538237552,0.0,-77305.53900546755,0.07081020268569864,0.09544386304412646,0.019427343515263505,12295.498704523505,3317.253042435961,7230.865148871838,6489.586405246772,4187.566775714284,179.18075994548877,-26758.34397295426
t14,2.884154408164742,0.379928123898626,-0.11739370347801421,16843.865929259347,0.0,-77305.5416947934,0.07061935482976267,0.09479255199381371,0.01931712148629753,12295.499026569189,3317.2518058272512,7230.865142422033,6489.586446405049,4187.566828510194,179.18077735687874,-26758.394320586554
