Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor,AnnualEmissions
MIDAT_conventional_hydroelectric_1,2,2806.182,0.0,0.0,2806.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4582154319999997e7,3.7203789387984015e6,0.15134470682951934,0.0
MIDAT_hydroelectric_pumped_storage_1,2,5244.0,0.0,0.0,5244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.593744e7,0.0,0.0,0.0
MIDAT_natural_gas_fired_combined_cycle_1,2,4026.4,0.004699184352947675,0.0,4026.3953008156473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.527122283514507e7,7.772459970412913e6,0.22036264539907735,3.1879607520586625e6
MIDAT_natural_gas_fired_combined_cycle_2,2,31802.922,0.004742614318011647,0.0,31802.91725738568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.785935551746986e8,1.0752212005127253e8,0.385946185954834,3.933508568177288e7
MIDAT_natural_gas_fired_combined_cycle_3,2,1697.696,1663.8720190458407,0.0,33.8239809541592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296298.0731584346,23394.121096796454,0.07895468521756907,15453.28034380762
MIDAT_natural_gas_fired_combined_cycle_4,2,20288.499,0.005250325610565079,0.0,20288.493749674388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7772720524714765e8,5.344664311330267e7,0.3007229143055488,2.0499837707204837e7
MIDAT_natural_gas_fired_combustion_turbine_1,2,14508.75,9759.026439512569,0.0,4749.723560487431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16075783898699e7,3.0460185579867656e6,0.0732082633948332,1.9452576325505446e6
MIDAT_natural_gas_fired_combustion_turbine_2,2,704.718,0.034748561258928126,0.0,704.6832514387411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.173025282603372e6,665131.4479060211,0.1077480517989249,368645.14969743276
MIDAT_nuclear_1,2,2440.0,0.002419019291597709,0.0,2439.9975809807083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1374378809391007e7,1.7676719246461757e7,0.8270050514261189,0.0
MIDAT_nuclear_2,2,17770.208,0.0014756458046082468,0.0,17770.206524354195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5566700915334275e8,1.2881261353158005e8,0.8274882021063996,0.0
MIDAT_onshore_wind_turbine_1,2,3231.6,0.002081146605179276,0.0,3231.5979188533947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8308797769155737e7,1.0739397057892999e7,0.3793660594655936,0.0
MIDAT_small_hydroelectric_1,2,263.268,0.0,0.0,263.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3062276799999997e6,380153.9509578755,0.16483799680952385,0.0
MIDAT_solar_photovoltaic_1,2,2974.6,0.006512443402545364,0.0,2974.593487556597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.605743895099579e7,6.592085234013244e6,0.2529828524748909,0.0
NE_conventional_hydroelectric_1,3,4729.48,0.0,0.0,4729.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.14302448e7,1.91558843975801e7,0.4623647407842519,0.0
NE_hydroelectric_pumped_storage_1,3,3206.9,0.0,0.0,3206.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8092444e7,0.0,0.0,0.0
NE_natural_gas_fired_combined_cycle_1,3,6119.616,0.019908946890062205,0.0,6119.59609105311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3607661757625245e7,8.212080503081016e6,0.15318855987806473,3.8023873846202353e6
NE_natural_gas_fired_combined_cycle_2,3,21225.12,0.010179949589641914,0.0,21225.10982005041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.859319620236416e8,5.247653917032659e7,0.28223517139917076,2.1500845842732765e7
NE_natural_gas_fired_combined_cycle_3,3,19.5,15.112289903186278,0.0,4.387710096813722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38436.3404480882,618.2704986966467,0.016085571401670707,661.6899097823302
