Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,Total
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4918242425343532e6,0.0,2.2023828479131404e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5889268895173671e6,0.0,1.1224410380585846e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.604366906918711e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9467007666359235e7,7163.299103268262,38123.171637243584,3283.2504294252,5.246417084055539e7,6.396687406271413e7,4297.6198940292925,7465.426315171899,6.396676256029009e7,1.667707140056801e7,9.390729100945102e7,5.328520122950515e7,1.3831807286326945e8,8.242376817764166e7,58940.53870476928,1.1655115276755194e8,7449.821963257663,2586.582946065663,1331.430219600734,1914.1424618733706,1.2562240002616268e8,2697.9704478487774,8.165861189530965e6,1.1926100164060133e7,4.421212174005607e6,1.5859665754588438e7,2.195806270509529e7,1.569103661201584e7,2.4135425637696862e7,1.472114848900601e7,2.207656421962555e7,650625.2621569758,8.534039222227503e6,4.105325108066243e6,2.946995071981567e7,4709.414280448623,2.3068007012442254e7,1.3000074883325366e7,2.8393381225878596e6,5.725894098740818e6,2.1901137022839032e7,8.956490969607094e6,2373.543312489048,675602.9277355291,6.837744135346107e6,1.1035213571712418e9
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036926321888586244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031212404250027248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041592397497879574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04096982535702409,0.03507086995887221,0.043910571599553805,0.04075272885529557,0.040684001840418205,0.04387785096332664,0.04148222995354445,0.04318866620451445,0.03396214979477463,0.04602748784964206,0.042248052759532584,0.04981814211350866,0.04772846880362014,0.05489818493515486,0.04649392775718297,0.033636741099144274,0.037449961041602364,0.046745533360081026,0.04027072937788034,0.051000599283640646,0.0293732853349411,0.038713717742211884,1.03803484962196
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036708941786855576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031191518652804007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0447769215425069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040372137460508384,0.034917077867248736,0.04422833872376941,0.04431854790163925,0.03990310946392128,0.04427126679365756,0.041204239620128646,0.04289566109946463,0.03381666093491731,0.04556091730046319,0.041928703364646935,0.05358908076595981,0.04726149963343884,0.053905479253444355,0.04642583709392056,0.033864410359910835,0.038168848345776496,0.04870708507587551,0.041170777285515214,0.05269549399474016,0.029248303841313827,0.03933821704140428,1.0504690752038317
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03658109098978457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03318781025700446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04362182164913975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0494803561417704e-6,0.0,0.0,0.0,0.0,0.0401349636958912,0.03487588410735043,0.04471699200075818,0.04395591096545104,0.04328335624450119,0.04477927329571685,0.041287029187515145,0.042681827741034795,0.033721615430522434,0.04537555674869509,0.041894830832461594,0.05244053083151812,0.04668169608910544,0.053194474952761084,0.046318538870764314,0.035821882052005094,0.03815688849135768,0.04967929008125793,0.04123063307997654,0.0481458226283773,0.029218200394211635,0.039262460169993574,1.0502534302675115
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03647852848416733,0.0,0.024488229570472697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030853817572733533,0.0,0.024555253809666056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045607085743540665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03510238056708204,0.04227238167948144,0.04273235805476361,0.0,0.052730138353126677,0.0124220791009526,0.0317705282100178,0.033913650038722154,0.029110947040669063,0.026575548714263847,0.028583856987507303,0.055799437599489465,0.01759262504670077,0.0501230611815231,0.04029510779946577,0.03488045989706734,0.042020082197268493,0.04366062694316497,0.043038367955887225,0.04521755068708444,0.04177069031720748,0.04227349254506407,0.033631950138783395,0.04546125112756272,0.039022838648634206,0.05178966147650499,0.047498764026272955,0.053251454985002056,0.04560173461686645,0.03358096271131217,0.038853791592373454,0.053013441392977256,0.04247576704437961,0.05085993602161931,0.028887770124583767,0.040312249680937384,1.5581098596848997
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03678958217506079,0.0,0.034208642204930584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.76369605722016,0.0,154.69603163487704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020533756766262456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.84953245683937,0.00930260149069166,0.03852950266713928,0.01944963978453554,0.04117560006966414,0.0253211451407509,0.04675934688335193,0.04452797675956738,0.04610508652149292,0.044969026845137705,0.06792048319039168,0.05759428635792574,0.07189355366426753,0.07039255918789422,0.07176300175693928,0.07169006942422129,0.8443335013480846,0.4278049388428998,0.23932737822441089,0.3738864436566343,764.3336623875657,0.410797507603696,583.0653110523472,0.04061942263797391,0.032817232674460683,0.04368684116161603,0.043203269538935274,0.04269939871301176,0.04571225568361115,0.04005077454712591,0.04156093907658942,0.03373783468430247,0.04778840929066064,0.04018522167461924,0.05962893767718924,0.052595922548421825,0.055361840131809004,0.04683580317214364,340.06601964525953,396.9794535164101,535.8407574637531,431.23814286313245,0.9254535774232895,201.3557590888057,409.9732017130955,4600.868581190508
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.1544554906144,0.0,812.8769182672913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0820179674023,0.0,473.84708304181567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030095838695274324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7024.806737894025,0.04654655781967476,0.05358222348521302,0.045357570140185044,0.050159524122136645,0.054339086171239614,0.05486375308025049,0.052715277016089246,0.05342802024097182,6162.855681775231,24996.131864347524,17073.857934801752,29876.87067252735,26352.825716307067,18.083023441992268,26373.20559317968,2.1753233593956565,0.9601918443361963,0.44020356061965754,0.759325713026967,30329.19532445463,1.0563499788656106,3942.3079521786026,0.03946821266799816,0.03080355618703834,0.03838744415406836,0.03940383826557081,0.038652774623187725,0.039623839384148596,0.035798306472315744,0.041509757582389284,392.299605072254,4286.196041840346,1658.9553811503372,13390.104237164538,1.5414799009677136,10625.512304361178,4577.971583691029,1049.4233274243088,2332.822261002738,5652.680011761303,3810.4918446171123,0.8101312593467354,281.90076775127085,3419.160060986521,226392.1061436946
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582.3432738400721,0.0,1094.4918740553019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.8529644495695,0.0,611.8621953995681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07197891331406936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9658.357141676439,0.12767243800394157,0.13553167085395046,0.1319191907397399,0.12149562827835325,0.13367508462397382,0.1229083016347885,0.13377812555139634,0.13352215877966955,8984.043610020732,50775.39085374653,30203.12366513341,71768.07201912324,49394.38218167232,24.85388190315434,62423.66125602019,3.48661469834379,1.310832405578316,0.4790180793242668,0.9692326077849664,90504.3009948919,1.4102875286422882,5009.812817808619,0.10326291502497043,0.07767669271470368,0.08556178193202868,0.10840227695007343,0.09739703099694452,0.11180359992795275,0.0851973753801758,0.10289423912763596,250.73847595143923,2627.595382492908,891.886188621466,8735.322385082418,0.8872743261619042,6334.843416035944,2222.44117710977,585.8186620590205,2211.844418099586,5290.71250820449,4053.9269450957972,0.5422634112341594,189.99874603141268,3529.048630473992,418283.69586548023
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.6230460606007,0.0,1258.226281687077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.13793665405225,0.0,657.2692292602846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07072485559729103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12771.541216995976,0.12445251651660216,0.13286923651209293,0.130707486553435,0.13333594569121487,0.13915339310187846,0.13270627948179792,0.13318666917210198,0.13935802900232375,10796.806407112299,77564.89194741021,40130.55112826647,130056.72811733326,68405.56010026827,25.90187892209292,103546.76430617896,4.537008905033561,1.4679073169159569,0.5419753092698198,1.077486456006576,174475.28910602076,1.5439111349409929,5401.678402030918,0.09655922027650377,0.07230080804083627,0.0756119952300196,0.10495995186465734,0.0975468580290908,0.11172660735246609,0.07756298394087935,0.10679746945243096,240.4374055637852,2045.3419685055228,787.7087730133401,8491.288421525644,0.7471518296532936,5537.278649590264,1460.5494648261656,443.4920389020702,2248.7587636006056,6835.475763322652,4980.310190221579,0.6009195446084825,206.55817290906035,3071.691017148282,662249.2556541325
