Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,Total
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0
AnnualSum,3.7203789387984024e6,0.0,7.772459970412915e6,1.0752212005127248e8,23394.12109679646,5.344664311330267e7,3.046018557986766e6,665131.4479060217,1.767671924646176e7,1.2881261353158008e8,1.0739397057892993e7,380153.9509578757,6.592085234013243e6,1.915588439758009e7,0.0,8.212080503081013e6,5.247653917032658e7,618.2704986966464,8043.978574290802,1.7122532239777753e6,2.5141987910863034e7,1.5583053485478666e7,1.011973737600049e7,3.457791890298156e6,2.7736556757252025e6,1.3792290777433302e7,0.0,7.475200577856691e7,9.485850215838237e6,1.1714715277630194e8,4210.0222146620745,2548.0739973992672,2620.526485050237,2.427169326940485e8,1.6205207905178579e7,337833.7338700069,1.7172706428287487e7,4795.364685188944,19207.158468775695,2896.487243918525,2.1328749527064097e9,14589.191406473827,3286.8359802614914,1.9378942726306987e8,3782.9303892839853,1.861979583933056e9,22053.197760765077,2343.4277779546733,22732.7728235065,2937.7260600572286,6.678160937532967e8,26376.12484010398,1.427362532188414e8,14702.857911159004,89899.55159716366,5745.874665612707,5.2930094813974756e8,2.8605454586856723e9,9389.284243419132,17495.101459060763,2.933344352399629e9,6.250746169470565e7,7.36438787169097e8,2.8499256577633345e8,2.5163376983854065e9,4.087361616901196e8,139241.33377411807,1.1806601578474607e9,18350.468363716507,5689.388327140759,2115.411104967649,3198.7943062513486,1.7472643799231246e9,6485.118491215059,2.2623629071615893e7,2.0247760060406595e8,4.5842596031117044e7,2.788780600981305e8,3.113097151046209e8,2.424584303460439e8,4.2278875745306176e8,2.0044123384473965e8,3.0743479118658334e8,4.587642839599976e6,6.933780859907876e7,2.8045248763039928e7,2.3028407473257834e8,18107.459681601566,2.6184635957223555e8,1.0956433060269825e8,1.907856041924068e7,3.4293408953168824e7,1.9715064155294156e8,4.737387439761443e7,7467.059817336154,3.5009040013997382e6,3.0880283110789843e7,2.2300643242827816e10
t1,306.79426512217356,0.0,2.1816471773631156,31800.474704562374,0.24813435191307423,9811.098377842269,0.3111333804773897,0.3451211572258733,2439.7861564521204,17769.983124785005,2243.2162139343927,49.168890765323994,0.0,2804.3422294287548,0.0,1.140315816735796,8398.364065978412,0.07733081540888276,0.2859099523571978,0.41812021592007403,3395.482639553821,2104.4853671046176,1709.6031702386351,414.381423542954,0.0,1503.6629286621069,0.0,26217.98100361379,4636.87187886413,42678.55060881817,1.008249166925389,0.5585519409644696,0.5708663623116985,33632.1200362479,2227.846488975851,38.615373978315006,0.0,0.9732143474174471,5.421864575372381,0.7450184170588945,385053.773786341,2.015428401090241,0.4729478291103374,45631.9482405482,0.40824226805671676,288213.0416182965,2.9909195683117575,0.3584342609964985,5.1182943724303875,0.3981338894256434,85771.39174487143,3.4441923095087663,6447.970521347135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36991.43032322605,5431.728020536109,34639.84266276009,43775.953653510296,35755.35232262325,50797.94783546274,21366.571097414322,43235.59846508035,960.6846022637227,15623.731962106423,5943.537932376697,43698.20213869284,4.00372981472811,48897.18875388273,9027.767991031345,3200.2966565053007,7254.999173197387,31857.571862729175,9780.684801511974,2.214233796190764,629.1229150454583,7188.823268882405,1.4613937013329014e6
t2,306.7942082486174,0.0,2.1249274436483843,31800.409389909604,0.24272190946104286,9811.029076725657,0.30175420725275276,0.33574105050255176,2439.78161563145,17769.97831050753,2238.130300139959,49.10505327741599,0.0,2411.8286289460366,0.0,1.0945901652806027,8398.283377877457,0.07540616703101412,0.27637166023813015,0.4049033000835347,3395.4780246983228,2104.4808863231215,1697.4129280883324,414.15778833038803,0.0,1503.6633927892644,0.0,26217.96517900208,4636.854309930597,42678.53449556484,0.99498492593393,0.5505728827795217,0.5649590800846258,33632.11810926245,2227.84505470622,38.623497065185,0.0,0.9704627499928157,5.41664260497379,0.7302829780204191,327201.6172596361,2.0051029842849046,0.4650692336904762,45631.90254435329,0.3971294571479603,263222.8273398592,2.983675309978265,0.3553113325640872,5.065476879200142,0.38424963966423215,75095.81143950947,3.435447438374793,9900.155218445567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38923.59571741115,5527.742733377504,31843.447775562116,48912.81395392282,39717.155100964395,47541.61911034462,21964.142302994955,44065.56485216459,958.5065091255052,15344.81258694264,5854.100199027292,49626.001958510176,3.9241903855051823,47474.42298781545,8842.769261373747,3177.477007050592,7134.466819987212,29695.321118681928,9886.42551974097,2.0537422179979603,688.0360480404601,7901.197338131138,1.379939560046001e6
t3,306.7940236559293,0.0,2.0338900248427683,31800.300068200242,0.23571165721526166,9810.913848783019,0.2888181193974772,0.3229751025375408,2439.7763446339377,17769.972494768987,2290.1350920061923,49.035515510771994,0.0,2019.308486337277,0.0,1.0123126772537516,8398.129599615879,0.07277583953018824,0.2621167738502464,0.3844452528777551,3395.4724062094224,2104.4752929418637,1827.5003708270665,413.91780788384403,0.0,1503.6639905234397,0.0,26217.935591008052,4636.821370747164,42678.502569407894,0.9713135436049501,0.5382791174593083,0.5561220860170066,33632.11613400449,2227.8434400268916,38.6161044214,0.0,0.9646135934807546,5.405968291538958,0.6648200440543282,295818.4533046881,2.007666685570621,0.45084371094084835,45631.82314600386,0.34615612226591747,252023.96050990617,2.9822055406809005,0.3473086339826537,4.977985214853907,0.3270390873410628,66166.26113901084,3.428229656589772,16007.705614185505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.787780885412431e-6,0.0,0.0,0.0,0.0,39257.40379580247,5428.470539846746,27248.432164708196,52336.690075992374,41956.28934560618,43370.70643243424,21165.275791893906,44317.9639780337,980.7786541947575,14986.228837992621,5451.553690974021,51951.32903156565,3.940041776906452,46073.5124783376,8834.21253644343,3420.994469161833,6664.656105573966,27692.225759713518,9639.004651414405,1.8536382119544603,681.3947352613328,8336.901256474717,1.3290378338782864e6
t4,306.7931411074646,0.0,1.8576627504067509,31800.095240413946,0.22662489172602848,9810.697739207084,0.27059710510791013,0.30487986600923866,2439.7700344183404,17769.96527237853,2364.11235890266,48.971227834584,19.905157254945276,1626.7839238974243,0.0,0.8201135582297832,5374.692263807088,0.06901579362725241,0.23768195259749963,0.346400954825655,3395.4597811777367,2104.4624362788168,1647.0272267705525,413.687790461166,46.73822154467738,1503.6637186593834,0.0,26217.883475792554,4636.764360860057,42678.44470490593,0.9341298767006464,0.5205356007899236,0.5430898336607626,33632.11388453251,2227.8416116087296,38.6254255049,0.0,0.9540580673083712,5.384397779566577,0.7137838632149096,290032.8427062577,2.008391825009643,0.4277188318466823,45631.67789854773,0.37602551571983517,247326.52968054597,2.97773505239318,0.32784783602884,4.757675488658103,0.34399126238586997,65139.941536193415,3.3991780300535828,15708.849731667782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.40948229976414,989.3298233690168,1122.185624534588,0.0,1088.0504547751057,0.017690769133641565,52.67104407650383,0.15329868929072338,0.07022113475044005,0.04625000671045357,0.05411757661345548,6922.497582095203,0.03678273819195219,396.33032490640073,37730.55992834043,5155.507828854566,21294.512621829817,51929.545141862145,41710.61957264524,39277.915115868534,17775.739138057863,45208.970631861965,1012.4609619044146,14550.604214939245,5158.311971103992,55268.38513255279,3.6687993953429094,44232.60030822854,9748.002334152028,3083.1577279848348,6452.195981495262,24740.145167873587,9618.886634252623,1.9115681789470766,691.6862060189483,8348.423777937398,1.3077168055485778e6
t5,306.78876637948997,0.0,1.3921676966986878,20351.911526207205,0.21324382006790824,6278.651928357002,0.24146672107070663,0.2736217616823242,2439.754631476641,17769.94696477027,2330.188064315189,48.893694882047996,582.0719925942271,1234.2560355350122,0.0,0.29637637916198695,0.33425166226262837,0.05979695531885391,0.16201194563244947,0.21813474765944607,2546.6578998769864,1578.4513967030268,1219.5652694712778,413.46884677386805,253.75630341278134,1503.6587912471218,0.0,26217.785840338514,4636.653103839532,42678.328393499956,0.8749238366434265,0.4945749826667876,0.521683912503349,33632.11074896706,2227.83946133729,38.618032861115,22.843079753927043,0.9354505749095957,5.340984467899114,0.681850285896985,299897.1575638008,2.009710182614343,0.3843159733807689,45631.273882385074,0.34483063746504095,65715.10580305841,2.923010624574159,0.22332119843009196,0.38200734489056826,0.16981829653604583,0.10517137558824463,2.7736086290097144,16651.340292583624,0.012646634725238292,0.7213482972717815,0.03318182572402897,2012.8669395484624,42.014237501159705,0.27057648863943673,0.31648380363462997,8994.692100226983,5241.182507993423,46801.4329108352,22882.691585195163,50590.4188455748,32454.601594984117,7.9420522938487865,38168.34277481724,1.009278199319906,0.4398172070266794,0.21020487897548648,0.34221381034742665,113608.44128683885,0.4589043880169313,3064.5674811921917,35010.7387871327,4231.353005136272,16310.721223133427,50130.491129827904,40176.825804687236,33690.72693697925,12339.348417728768,46366.61326955451,997.9322233948244,13759.983109899147,4446.863037167358,55478.569952981066,3.5702116914701842,42550.04452312138,10502.510841246882,2481.5609897574027,5640.288640290687,19443.70501695388,9150.477807512614,1.1132723668751792,444.1715033722013,7564.225615051556,1.3308232789399624e6
t6,210.37636803720363,0.0,0.37121708496626904,0.4350258757358318,0.16161158023107555,0.3915027714846317,0.17213549635283754,0.18272632737670796,1829.9377135277532,13327.592115956824,969.2676798825502,48.829406942591994,872.1977384823931,841.7407946235833,0.0,0.2495062623998112,0.2766545490501882,0.056727027495719735,0.145290931375957,0.1942860854684573,1698.155928657654,1052.684409021876,597.0246493553985,413.2254482399,499.3932809949667,1503.6320700144656,0.0,19186.580659770905,2968.5905417049494,42667.34527830607,0.7614214721023831,0.449984912536066,0.4726932923185085,33632.10833423664,2227.8365118601428,38.617879925375,988.7527968815767,0.8987082609154784,5.251477036873228,0.5677504865244,83210.74936057121,2.009217216876853,0.23881969498126465,0.450561252282417,0.18599593516795318,0.07868499844355052,2.3309429238322106,0.20690708899378127,0.31431355798882354,0.15281455744383776,407.95513418751375,2.30979629402004,10757.422110589501,0.902692252066491,14.226758352344007,0.8262719754009349,22749.074422081703,96014.82170191965,1.6852777144578157,3.050681419634277,165602.38813488116,9009.392222520393,132996.64360945395,50722.53737978927,304195.9329603638,77534.0304095983,15.164632902317635,175591.6486390885,2.3606729652155924,1.1071360190091266,0.40565133489829003,0.7572125808008368,283179.6958389404,1.174512988383156,3817.3524456168,30723.993208720378,3455.159736782062,11375.27004844229,47710.82742833617,37523.83560033161,25125.869566074965,8180.685438585909,44344.413486001926,408.31826455140134,5548.956860522753,1846.3612165970828,33511.35749562755,1.5535953847301949,19222.866763699592,5928.155474662819,1133.4565505649607,2778.328955756163,7677.753887932958,4974.507897268451,0.8856455321992656,291.7848254738222,4338.79681514669,1.837527651011499e6
t7,184.7446732998512,0.0,0.31224228125217107,0.3442941156561775,0.15122010016975293,0.3203577638946599,0.15253253692443916,0.16279265023930803,1220.3473435867584,8885.48684120531,597.7366624245452,48.755998083276,1151.9000884477025,449.29526416721103,0.0,0.2265939757831376,0.24979411710089647,0.05474596035692308,0.13555244314177334,0.18024447424993864,1697.9430781856622,1052.440045822737,318.32368802560006,412.994353485468,635.9455173259449,1503.0625112058806,0.0,2407.445310565849,1.423875176060539,15353.458627836262,0.43708345571089163,0.3220037319853357,0.29942656241214083,33632.05675318548,2227.802658538356,38.617803457505005,2883.334578423631,0.5779118701994922,1.2517693057524248,0.2757543756394069,0.10446800434308687,1.9305655746170107,0.21450286126475673,0.3621021947892286,0.17510935796053106,16810.63617250158,1.8631320848428063,0.19652833254914925,0.2820662626690071,0.14828610756507593,12500.880377314901,2.0157154260468113,11675.29809745611,2.640418948948078,32.66742088565637,1.9553952758959552,51448.395976413696,434206.4987921958,2.572460360627579,5.38444715583679,439786.82953973085,11242.250583409595,153799.36061493948,57956.356163440905,556745.1380189343,95442.19515394108,21.26826780427612,264954.39427808113,3.4484172761542466,1.3397231487710057,0.4501985141651121,0.8315753329685605,381506.1186781332,1.5199481469696685,4256.381376763564,12152.867481610398,2191.939821729714,2206.2007029039805,25036.978610324786,18763.49345007226,14782.981786972843,2306.0385167228715,24172.012842842734,254.6546434946414,2796.5541097189985,915.9717551622031,10308.127963591334,0.8756290549850344,7089.475008872744,2328.8650700063213,597.5771049773253,2358.743108230546,5759.479840864798,4478.059292276818,0.5459968640912628,192.50690924745226,3879.927855889647,2.7096945520659145e6
t8,178.51827200995197,0.0,0.28410424558165154,0.3072864046752246,0.14409965890291512,0.28840198051208765,0.1417464955888848,0.15126564773460635,1220.0986948514756,8885.213853287827,570.0762915754838,48.68988016795199,1311.2166114873098,287.6224291038032,0.0,0.21256826050961908,0.2332105322119595,0.05340532265600071,0.1292434843625993,0.1708751463574891,1697.9418944544827,1052.4377508894431,239.14663961092893,412.774556945302,677.6464797297303,1503.0603264519452,0.0,0.9967745782376961,0.8398369144903475,1.1379605657877347,0.37718544266382276,0.2901369518048637,0.2788839963149823,33632.052854656555,2227.7979520501003,38.618934732170004,3738.941023035078,0.5400142223197412,1.105949499380805,0.26077250384332956,0.43836027752284956,1.9221198341939592,0.20078672324256308,0.3230191378396107,0.16446106111039738,13687.329055911434,1.5787541787348494,0.18978501950767274,0.2628997468789322,0.14133233558469013,12167.562298631108,1.8691975603873148,13918.783284733692,3.465026112056531,39.05442324551475,2.481584554789859,74289.98785371466,623322.4052396737,3.009641732014042,6.395200298190391,604078.6194469163,12338.206866642866,146645.75336406604,56950.5738909996,629026.7737504223,90700.72316299165,22.76087756215781,261539.72529675683,4.063196502350928,1.3676804190527654,0.5102863780869111,0.84279588372742,402914.29783317604,1.6072902909352307,4455.115163427613,4605.84907157325,1103.0681879556578,1101.8381313368302,10332.62187984576,5041.971552480219,14024.237668262103,1336.3612386630175,8825.602315695205,243.37920273421878,2096.7666299767648,799.591529065962,9083.615720851243,0.7418803354534319,5788.159561209355,1489.8000098713337,448.08336055293677,2319.6360296276234,7042.857049246361,5249.286713423256,0.5879285167413935,208.80773257011268,3183.2179605143733,3.088184384748119e6
