BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,8.826620023697315e9,2.1328749527064097e9,-2.519937325968402e9,0.0,0.0,0.0,0.7564091963559928,2.367787735987215e7,0.0,-8.472656793999996e9,6.427711311914694e9,1.861979583933056e9,-2.1998813609807706e9,0.0,0.0,0.0,0.7895087188047737,-3.2337400082844842e7,0.0,-5.968995549999994e9,2.3836412768230515e9,6.678160937532967e8,-7.890076722037582e8,0.0,0.0,0.0,0.8778342984408888,8.659522722972734e6,0.0,-2.239597878e9
t1,382941.3658929847,385053.773786341,-0.2712674183924918,0.0,0.0,0.0,8.242248963367406e-5,33311.74684960258,-0.0,-806154.0484255757,234214.5452299128,288213.0416182965,-0.26751663057515374,0.0,0.0,0.0,9.104874859197193e-5,-44801.4196872453,-0.0,-473038.68623336835,85199.58306049502,85771.39174487143,-0.2583359244203338,0.0,0.0,0.0,9.086764266605326e-5,11489.672837642722,-0.0,-179488.02495630045
t2,389442.9185932689,327201.6172596361,-0.2468805555173136,0.0,0.0,0.0,8.531688908203803e-5,33311.74293264853,-0.0,-754796.8440598656,238158.5192105855,263222.8273398592,-0.2674306080182286,0.0,0.0,0.0,9.458137789533293e-5,-44801.42086174324,-0.0,-451992.44788698584,86817.86620314195,75095.81143950947,-0.27568444714099927,0.0,0.0,0.0,9.40892702270191e-5,11489.67792909471,-0.0,-170430.70457826398
t3,386027.8401078189,295818.4533046881,-0.23248970602498137,0.0,0.0,0.0,8.692330670060246e-5,33311.74021246035,-0.0,-719983.85663668,238386.9664051258,252023.96050990617,-0.25684283533056174,0.0,0.0,0.0,9.600901241360299e-5,-44801.41421835612,-0.0,-441022.05081671465,90614.35241173662,66166.26113901084,-0.2883271605914175,0.0,0.0,0.0,9.546953737231713e-5,11489.674005895771,-0.0,-165297.6155645545
t4,371029.76554803085,290032.8427062577,-0.2287258810045804,0.0,0.0,0.0,8.906663408915506e-5,33311.740697912486,-0.0,-699168.4954313702,243604.127156179,247326.52968054597,-0.21984939511307455,0.0,0.0,0.0,9.783739569783701e-5,-44801.378805614586,-0.0,-441541.8602646724,90583.59892137039,65139.941536193415,-0.1049370618499433,0.0,0.0,0.0,9.723414147115392e-5,11489.638107702101,-0.0,-164240.62445403918
t5,360276.4427185943,299897.1575638008,-0.3068333563303945,0.0,0.0,0.0,8.941003936687933e-5,33311.78571551079,-0.0,-698208.4939618076,419631.340279798,65715.10580305841,-0.08358578836971885,0.0,0.0,0.0,9.887107241164955e-5,-21821.83635401108,-0.0,-458937.3438835377,185303.1274033354,0.10517137558824463,-1194.893736708912,0.0,0.0,0.0,9.984860007666835e-5,-11489.949361499712,-0.0,-167915.79469462406
t6,596050.90577925,83210.74936057121,-0.13597678582557685,0.0,0.0,0.0,8.861642292542551e-5,33311.95774353809,-0.0,-717580.9787068762,833796.0410865342,0.07868499844355052,-294796.0564831038,0.0,0.0,0.0,9.925919598934028e-5,-33493.35292620286,-0.0,-486620.21913524123,324061.920965958,407.95513418751375,-140873.4235288745,0.0,0.0,0.0,0.00010216772810841206,181.39518266476625,-0.0,-179074.94797058182
t7,1.0851517542974122e6,0.10446800434308687,-370981.7128725586,0.0,0.0,0.0,8.713382980435524e-5,33311.90380854522,-0.0,-752480.1938069686,1.1759485171534466e6,16810.63617250158,-612380.8423506492,0.0,0.0,0.0,9.80261818836501e-5,-33112.78941717867,-0.0,-528380.2595531496,419282.6595972346,12500.880377314901,-227419.8721705367,0.0,0.0,0.0,0.00010228376576494601,-199.11439136654917,-0.0,-199461.51214810726
t8,1.3892651891874943e6,0.43836027752284956,-635455.6944401911,0.0,0.0,0.0,8.529762067065111e-5,33311.903426948535,-0.0,-792121.931136937,1.2289439692723998e6,13687.329055911434,-627800.0578372468,0.0,0.0,0.0,9.674005091047787e-5,-33028.90745442826,-0.0,-562917.3663628078,444119.896573405,12167.562298631108,-232400.98904751835,0.0,0.0,0.0,0.00010238342183029116,-282.9959725202734,-0.0,-218900.42912310173
t9,1.5328083906973726e6,0.42541749908333515,-729786.1489601084,0.0,0.0,0.0,8.359064414287655e-5,33311.90133971885,-0.0,-841334.9406035639,1.2558048362998401e6,13189.326457797391,-627924.6969983295,0.0,0.0,0.0,9.508645258671733e-5,-32950.3234006564,-0.0,-589234.2307396457,454337.5422863893,13345.206964878362,-231568.36080440614,0.0,0.0,0.0,0.00010253400982335398,-361.5779390624466,-0.0,-231049.75223247326
t10,1.5950700969177682e6,0.42604710628303855,-743415.3940159635,0.0,0.0,0.0,8.210761578268947e-5,33311.90127627996,-0.0,-889967.3503790181,1.2732116868389708e6,14071.602904974012,-623467.6666863256,0.0,0.0,0.0,9.405432556666765e-5,-32752.490196008388,-0.0,-612178.3780006646,460792.4028664085,13979.914061320995,-229998.07505973754,0.0,0.0,0.0,0.00010307729289206665,-559.4110802715713,-0.0,-239511.75577815055
t11,1.659888847878144e6,0.420010736153522,-758865.852389977,0.0,0.0,0.0,8.099657259243603e-5,33311.89991033588,-0.0,-939335.5696640773,1.2839605169449723e6,14990.30618648131,-619130.1361136908,0.0,0.0,0.0,9.334831746416703e-5,-32728.15642280982,-0.0,-628207.8507446641,466031.275006002,14339.035852693909,-228561.58071742058,0.0,0.0,0.0,0.00010338456009136598,-583.7434875260606,-0.0,-246521.9152122579
t12,1.6852313326554082e6,0.4302516885944121,-741215.2049073252,0.0,0.0,0.0,8.00422682065971e-5,33311.90165556158,-0.0,-982328.6893698245,1.2958448627766613e6,15224.413387828483,-617849.5622880365,0.0,0.0,0.0,9.242751074517298e-5,-32956.68019504088,-0.0,-641378.371524896,467697.7467435646,14650.477180682243,-227019.9628008181,0.0,0.0,0.0,0.00010335385546886564,-355.22146052070275,-0.0,-250269.98139149905
t13,1.6699660350988833e6,0.4425291288198414,-689636.5188810088,0.0,0.0,0.0,7.972959915035457e-5,33311.904144584696,-0.0,-1.018642038371189e6,1.3094633561017213e6,15322.470833531532,-617251.8053664354,0.0,0.0,0.0,9.210070506402508e-5,-33725.62583681705,-0.0,-654923.63865133,454729.46405035484,17236.413710659606,-214642.6135450532,0.0,0.0,0.0,0.00010359937595186957,413.7216922323587,-0.0,-253033.95239888105
t14,1.596106845111005e6,0.42741636561328034,-583769.4882904048,0.0,0.0,0.0,7.9401618764107e-5,33311.90452375836,-0.0,-1.0506497520390057e6,1.3100929434898838e6,17343.605837206054,-609018.0922342137,0.0,0.0,0.0,9.179175797996947e-5,-34497.6917259707,-0.0,-665035.7457028803,403410.15901189024,26181.235170586842,-171491.15917759214,0.0,0.0,0.0,0.0001034716449248802,1185.7872022123356,-0.0,-254582.99109532594
